Time, Position, Rotation
13:51:58:276,(-0.089. 1.090. 0.336),(0.119. -0.069. 0.067. 0.988)
13:51:59:28,(-0.099. 1.105. 0.317),(0.013. -0.104. 0.135. 0.985)
13:52:00:286,(-0.055. 1.119. 0.313),(-0.029. 0.100. -0.005. 0.995)
13:52:01:29,(-0.126. 1.099. 0.323),(0.012. -0.118. 0.174. 0.978)
13:52:02:296,(-0.044. 1.103. 0.336),(0.025. 0.080. -0.137. 0.987)
13:52:03:302,(-0.086. 1.077. 0.354),(0.187. 0.029. 0.063. 0.980)
13:52:04:306,(-0.061. 1.142. 0.306),(-0.195. 0.082. 0.028. 0.977)
13:52:05:312,(-0.034. 1.114. 0.320),(-0.013. 0.210. 0.000. 0.978)
13:52:06:317,(-0.065. 1.141. 0.303),(-0.188. 0.111. 0.043. 0.975)
13:52:07:323,(-0.063. 1.141. 0.293),(-0.225. 0.088. 0.034. 0.970)
13:52:08:334,(-0.057. 1.089. 0.342),(0.129. 0.091. 0.027. 0.987)
13:52:09:334,(-0.142. 1.089. 0.345),(0.073. -0.305. 0.107. 0.944)
13:52:10:339,(-0.030. 1.108. 0.341),(0.025. 0.209. -0.012. 0.977)
13:52:11:344,(0.037. 1.093. 0.288),(0.050. 0.649. -0.034. 0.758)
13:52:12:35,(-0.047. 0.985. 0.391),(0.468. 0.131. -0.080. 0.870)
13:52:13:357,(-0.052. 1.115. 0.358),(0.003. 0.153. 0.056. 0.987)
13:52:14:361,(-0.009. 1.135. 0.213),(-0.212. 0.831. 0.109. 0.502)
13:52:15:365,(0.053. 1.071. 0.112),(0.004. 0.966. -0.085. 0.246)
13:52:16:372,(0.090. 1.253. 0.320),(0.079. 0.887. -0.047. 0.452)
13:52:17:381,(0.117. 1.270. 0.268),(-0.022. -0.696. 0.067. 0.714)
13:52:18:381,(0.069. 1.273. 0.245),(-0.007. -0.826. 0.151. 0.544)
13:52:19:384,(0.227. 1.304. 0.314),(0.056. 0.507. -0.069. 0.857)
13:52:20:391,(0.075. 1.330. 0.277),(0.040. 0.991. 0.015. 0.129)
13:52:21:4,(0.013. 1.330. 0.305),(0.117. 0.991. 0.002. -0.064)
13:52:22:404,(-0.666. 1.326. -1.016),(0.039. 0.997. -0.044. 0.047)
13:52:23:408,(-1.002. 1.306. -1.713),(0.047. 0.996. -0.002. 0.072)
13:52:24:412,(1.543. 1.061. 1.499),(0.035. 0.876. -0.053. 0.477)
13:52:25:418,(2.213. 1.434. 4.939),(0.011. -0.247. 0.048. 0.968)
13:52:26:423,(2.526. 1.582. 6.511),(0.002. -0.483. 0.072. 0.873)
13:52:27:429,(2.526. 1.582. 6.511),(0.002. -0.483. 0.072. 0.873)
13:52:28:438,(2.526. 1.582. 6.511),(0.002. -0.483. 0.072. 0.873)
