Time, Position, Rotation
09:58:04:734,(1.789. 0.864. -0.257),(0.044. 0.725. 0.031. 0.686)
09:58:05:737,(1.461. 1.819. -0.169),(0.022. 0.731. -0.167. 0.661)
09:58:06:743,(1.494. 1.621. -0.241),(0.035. 0.211. 0.004. 0.977)
09:58:07:747,(1.465. 1.601. -0.259),(0.065. -0.293. 0.024. 0.953)
09:58:08:753,(1.482. 1.634. -0.240),(-0.027. -0.116. 0.022. 0.993)
09:58:09:758,(1.524. 1.638. -0.256),(-0.068. 0.186. 0.043. 0.979)
09:58:10:764,(1.529. 1.640. -0.262),(-0.100. 0.015. -0.002. 0.995)
09:58:11:769,(1.269. 1.543. -0.222),(0.290. -0.536. 0.167. 0.775)
09:58:12:774,(1.318. 1.536. -0.151),(0.319. 0.120. -0.054. 0.938)
09:58:13:78,(1.396. 1.543. -0.277),(0.183. 0.740. -0.224. 0.607)
09:58:14:785,(1.268. 1.632. -0.232),(-0.137. -0.370. 0.014. 0.919)
09:58:15:791,(1.296. 1.654. -0.273),(-0.266. 0.567. 0.166. 0.762)
09:58:16:797,(1.251. 1.551. -0.216),(0.266. -0.228. 0.082. 0.933)
09:58:17:803,(1.231. 1.512. -0.333),(-0.220. 0.819. -0.330. -0.414)
09:58:18:807,(1.345. 1.668. -0.211),(-0.506. -0.029. -0.006. 0.862)
09:58:19:812,(1.404. 1.566. -0.404),(0.055. 0.968. -0.193. 0.151)
09:58:20:816,(1.509. 1.503. -0.224),(0.400. 0.364. -0.119. 0.833)
09:58:21:822,(1.454. 1.383. 0.089),(0.671. 0.413. 0.227. 0.573)
09:58:22:829,(1.714. 1.055. -0.236),(0.067. 0.800. -0.174. 0.570)
09:58:23:835,(1.800. 0.850. -0.284),(-0.014. 0.627. 0.086. 0.774)
09:58:24:838,(1.800. 0.844. -0.291),(-0.064. 0.632. 0.062. 0.770)
09:58:25:844,(1.800. 0.845. -0.291),(-0.064. 0.632. 0.062. 0.770)
09:58:26:849,(1.801. 0.845. -0.292),(-0.064. 0.632. 0.062. 0.770)
09:58:27:854,(1.801. 0.845. -0.292),(-0.064. 0.632. 0.062. 0.770)
09:58:28:86,(1.801. 0.846. -0.292),(-0.063. 0.632. 0.062. 0.770)
