Time, Position, Rotation
11:08:50:896,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:08:51:899,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:08:52:905,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:08:53:912,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:08:54:917,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:08:55:922,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:08:56:927,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:08:58:142,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:08:59:152,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:09:00:156,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:09:01:161,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:09:02:167,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:09:03:172,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:09:04:178,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:09:05:182,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:09:06:187,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:09:07:192,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:09:08:198,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:09:09:203,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:09:10:209,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:09:11:215,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:09:12:219,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:09:13:226,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:09:14:23,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:09:15:237,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:09:16:241,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:09:17:246,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:09:18:252,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:09:19:258,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:09:20:264,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:09:21:267,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:09:22:273,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:09:23:279,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:09:24:287,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:09:25:29,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:09:26:295,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:09:27:299,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:09:28:305,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
11:09:29:31,(0.000. 0.000. 0.000),(0.000. 0.000. 0.000. 1.000)
